"ref", "position", "fatalities", "date", "time", "postcode", "borough", "area", "notes"
"p199, Rosendale Road"
"p199, Lovelace Road"
"p199, Rosendale Road"
"p199, Avenue Park Road"
"p199, York Hill"
"p199, Elmworth Grove"
"p199, Croxted Road"
"p200, Burbage Road"
"p200, Gallery Road"
"p200, Dulwich Park"
"p200, Dulwich Park"
"p200, College Road"
"p200, Dulwich"
"p200, Dulwich College"
"p200, Park Hall Road"
"p200, Park Hall Road"
"p201, Lordship Lane"
"p201, Lordship Lane"
"p201, Lordship Lane"
"p201, Dunstans Road"
"p201, Camberwell Cemetery"
"p201, Ringmore Rise"
"p201, Horniman Drive"
"p201, Wood Vale"
"p201, Lapse Wood Walk"
"p201, Dulwich Golf Course"
"p201, Dulwich Golf Course"
"p201, Thorpewood Avenue"
"p201, Thorpewood Avenue"
"p201, Taymount Rise"
"p202, Boveney Road"
"p202, Honor Oak Road"
"p202, Ewelme Road"
"p202, Garthorne Road"
"p202, Brockley Rise"
"p202, Stanstead Road"
"p202, Forest Hill Station"
"p202, Clyde Terrace"
"p202, Westbourne Drive"
"p202, Perry Vale"
"p202, Como Road"
"p203, Stillness Road"
"p203, Fermor Road"
"p203, Hurstbourne Road"
"p203, Exbury Road"
"p203, Riverview Park"
"p204, Elmer Road"
"p204, Shorndean Street"
"p204, Bargery Road"
"p204, Inchmery Road"
"p204, Aitken Road"
"p205, Arngask Road"
"p205, Ardoch Road"
"p205, Hazelbank Road"
"p205, Broadfield Road"
"p205, Further Green Road"
"p205, Springbank Road"
"p205, Ronver Road"
"p205, Newstead Road"
"p205, Linchmere Road"
"p206, Linchmere Road"
"p206, Harland Road"
"p206, Winn Road"
"p207, Horsa Road"
"p207, Churchbury Road"
"p207, Gregory Crescent"
"p207, Sidcup Road"
"p207, Court Road"
"p208, North Park"
"p208, Court Road"
"p208, Court Road"
"p213, Streatham Cemetery"
"p213, Hebdon Road"
"p218, Sydenham Hill Station"
"p218, Wood Hall"
"p219, Oaksford Avenue"
"p220, Sydenham Park"
"p219, Dacres Road"
"p220, Dacres Road"
"p220, Wynell Road"
"p220, Perry Rise"
"p221, Adamsrill Road"
"p221, Firhill Road"
"p221, Playgreen Way"
"p223, Whitefoot Lane"
"p224, Ivorydown"
"p224, Grove Park"
"p224, Somertrees Avenue"
